item_id user_id rating date
1 32305 80 2012-09-11
1 32317 60 2012-09-11
1 32610 50 2014-02-21
1 33083 70 2012-09-28
1 33561 50 2012-10-09
1 33862 30 2017-06-15
1 33877 70 2012-11-06
1 34008 40 2012-11-02
1 34074 70 2012-10-21
1 34254 80 2012-12-22
1 34402 60 2012-10-28
1 34552 60 2014-09-16
1 35206 90 2013-04-19
1 35228 80 2013-10-20
1 35286 70 2012-11-16
1 35759 60 2014-08-12
1 35909 40 2012-11-29
1 36036 60 2012-12-02
1 36508 40 2012-12-10
1 36578 50 2012-12-12
1 36780 50 2012-12-16
1 36872 50 2013-07-05
1 37334 60 2014-04-10
1 38115 60 2013-01-10
1 38440 60 2013-11-09
1 38777 60 2013-07-17
1 39167 60 2013-02-09
1 39504 70 2013-02-05
1 39839 50 2013-02-10
1 39924 80 2013-04-11
1 40153 80 2013-02-17
1 40265 50 2013-02-19
1 40429 60 2013-07-28
1 40768 50 2013-02-28
1 40824 80 2016-03-07
1 40924 70 2013-03-03
1 40994 20 2013-12-01
1 41056 80 2013-03-28
1 42245 61 2013-03-26
1 42647 70 2013-04-01
1 43265 70 2013-04-12
1 43382 60 2023-03-24
1 43722 50 2013-04-19
1 43951 70 2013-04-22
1 43969 60 2013-09-16
1 44032 80 2013-04-24
1 44081 40 2015-10-18
1 44153 80 2013-04-26
1 44242 50 2014-03-04
1 44946 40 2013-05-09
1 45493 60 2013-05-18
1 46002 50 2013-05-26
1 46159 80 2013-05-28
1 46237 50 2013-05-29
1 46396 30 2014-08-21
1 46478 80 2013-06-02
1 46620 80 2013-06-04
1 47386 40 2013-12-13
1 48475 60 2013-07-03
1 48510 60 2013-07-03
1 48648 60 2013-10-19
1 48700 70 2013-11-16
1 49198 70 2017-09-28
1 49233 20 2013-07-14
1 49441 80 2013-07-17
1 49761 60 2013-07-28
1 49890 100 2014-12-07
1 50006 40 2013-08-07
1 50335 60 2013-07-29
1 50433 20 2016-04-01
1 51494 70 2013-09-01
1 52161 80 2013-08-21
1 53750 60 2014-07-10
1 54826 60 2013-09-29
1 55275 70 2016-04-20
1 55409 20 2013-10-08
1 56335 50 2013-10-23
1 56362 70 2013-12-09
1 58644 70 2018-07-24
1 58687 80 2013-12-21
1 60077 60 2013-12-18
1 60089 30 2016-06-05
1 61744 50 2014-01-08
1 61799 80 2014-01-14
1 62120 50 2014-01-13
1 62669 90 2014-05-02
1 63322 50 2015-07-29
1 63597 50 2014-02-02
1 64627 60 2014-02-21
1 65663 60 2016-03-05
1 66715 50 2014-03-19
1 66790 60 2014-03-21
1 66814 46 2014-03-21
1 67933 50 2014-04-08
1 68154 60 2014-04-12
1 69704 60 2014-06-26
1 70541 30 2018-02-05
1 70833 50 2014-05-23
1 71542 90 2014-06-03
1 71697 50 2014-06-05
1 72200 50 2014-06-13
1 72987 50 2014-06-25
1 73934 50 2014-07-08
1 73936 60 2014-07-11
1 74783 20 2014-07-29
1 74917 20 2014-07-22
1 75027 70 2014-07-23
1 75298 60 2014-07-26
1 76320 30 2015-01-24
1 76336 60 2015-08-07
1 76350 20 2014-08-08
1 77862 50 2014-08-29
1 78552 60 2014-09-09
1 78793 80 2014-09-14
1 79312 80 2014-09-22
1 80659 40 2014-10-15
1 81540 50 2015-08-11
1 83797 20 2015-02-06
1 83981 60 2014-12-03
1 85558 80 2015-01-10
1 86082 80 2015-01-03
1 86551 90 2015-01-14
1 86919 70 2015-04-14
1 87607 50 2015-01-18
1 88023 80 2017-01-21
1 88572 60 2015-02-14
1 88869 60 2015-02-05
1 89060 10 2015-10-27
1 90707 50 2015-03-04
1 90833 60 2016-01-12
1 90995 50 2015-03-08
1 92335 60 2017-09-30
1 93008 80 2016-01-24
1 93991 30 2015-11-29
1 94507 40 2015-04-30
1 96690 40 2015-05-26
1 98465 70 2016-01-11
1 98576 60 2015-06-19
1 98597 60 2015-06-21
1 101117 70 2022-06-20
1 101128 40 2015-07-22
1 104723 55 2015-09-07
1 104909 70 2015-11-05
1 105581 90 2015-09-20
1 106945 70 2016-07-17
1 107153 60 2015-10-14
1 107192 50 2015-10-15
1 110050 40 2015-12-18
1 110529 40 2017-10-29
1 110586 70 2016-01-30
1 110746 50 2016-07-17
1 110789 30 2017-08-02
1 111044 60 2016-01-09
1 111432 60 2016-03-15
1 111509 30 2018-02-19
1 112010 60 2016-05-25
1 112375 90 2016-02-10
1 112664 40 2016-02-17
1 112698 50 2016-02-18
1 113095 30 2016-02-27
1 114601 90 2020-07-12
1 114650 60 2016-04-15
1 115295 50 2016-04-24
1 115757 50 2016-05-04
1 116019 40 2016-05-20
1 116782 50 2017-10-14
1 118122 45 2017-01-12
1 119140 50 2016-07-31
1 119296 70 2017-09-10
1 119376 20 2016-11-02
1 119911 60 2016-08-18
1 120512 60 2016-09-02
1 120725 40 2016-10-30
1 121436 60 2016-09-28
1 122385 50 2016-10-23
1 123858 80 2016-12-06
1 124378 50 2019-04-15
1 128894 80 2017-05-10
1 130089 60 2017-04-22
1 130172 80 2017-04-24
1 131042 100 2017-07-01
1 132135 30 2018-01-20
1 132228 40 2017-06-11
1 132339 80 2022-11-01
1 132455 60 2022-09-03
1 133359 60 2017-07-07
1 133495 10 2017-07-12
1 134278 60 2018-01-24
1 134623 70 2017-08-04
1 134796 70 2017-08-08
1 136094 40 2017-09-10
1 136542 60 2017-11-26
1 138366 50 2017-11-06
1 138469 70 2017-11-05
1 138931 10 2017-12-02
1 139086 50 2018-05-23
1 142235 50 2018-01-20
1 143546 50 2018-03-25
1 144207 70 2018-09-21
1 146297 60 2018-09-07
1 146625 80 2018-12-12
1 147823 83 2018-09-20
1 148226 60 2018-08-27
1 148939 40 2020-12-19
1 149724 50 2019-04-02
1 151348 40 2018-07-30
1 152494 50 2019-01-21
1 153137 30 2020-08-10
1 154111 60 2018-10-10
1 154294 70 2018-10-04
1 155894 90 2020-03-16
1 156716 80 2019-10-03
1 157381 50 2018-12-22
1 158682 60 2019-01-19
1 158759 40 2019-01-21
1 158875 10 2019-01-24
1 159364 70 2019-02-04
1 160838 60 2019-03-17
1 161268 50 2019-03-28
1 164182 10 2019-06-20
1 165225 60 2019-07-21
1 168463 60 2019-10-27
1 169567 50 2019-12-23
1 170845 50 2021-06-10
1 172696 50 2021-01-16
1 175140 71 2022-03-08
1 176902 30 2020-05-19
1 177309 40 2020-08-04
1 180070 50 2020-07-22
1 182227 80 2020-09-27
1 182580 80 2020-09-03
1 183208 10 2020-09-14
1 185644 65 2020-11-01
1 187220 60 2021-02-01
1 187912 70 2021-09-02
1 188031 90 2021-09-28
1 189733 70 2021-02-19
1 189801 70 2021-01-23
1 192637 10 2022-03-17
1 194381 70 2021-04-21
1 196951 70 2021-07-25
1 200006 40 2021-07-24
1 201209 60 2022-05-18
1 201569 60 2021-08-13
1 202016 50 2021-08-20
1 220379 100 2022-06-08
1 220974 80 2022-06-17
1 222867 80 2022-07-17
1 222968 50 2022-07-18
1 225022 40 2022-08-18
1 230945 50 2023-01-23
1 235376 90 2023-01-30
1 236735 70 2023-06-07
1 241655 80 2023-05-05
1 242372 40 2023-05-18
1 244783 20 2023-06-18
2 2 60 2007-09-22
2 4 70 2007-09-28
2 8 60 2007-10-01
2 9 50 2007-10-01
2 13 80 2009-03-01
2 25 80 2007-11-12
2 29 60 2007-11-19
2 31 70 2007-11-26
2 59 100 2008-02-28
2 62 75 2008-07-24
2 64 80 2009-07-26
2 86 50 2009-03-12
2 89 60 2008-03-20
2 97 100 2008-03-24
2 101 50 2008-04-02
2 107 70 2008-03-29
2 127 79 2008-04-06
2 141 100 2008-04-13
2 167 30 2008-08-26
2 171 80 2008-04-30
2 187 80 2009-12-16
2 193 70 2008-06-30
2 194 80 2009-06-24
2 199 20 2008-12-02
2 203 80 2009-10-24
2 233 70 2008-09-15
2 242 50 2009-08-20
2 273 80 2011-05-06
2 276 100 2008-06-27
2 285 60 2008-06-17
2 305 90 2008-06-25
2 306 80 2008-07-26
2 308 50 2009-08-17
2 316 80 2008-08-17
2 336 83 2009-06-21
2 339 70 2010-02-21
2 363 70 2009-03-01
2 400 100 2008-11-16
2 405 80 2014-05-05
2 431 40 2008-09-21
2 440 60 2008-08-20
2 441 90 2008-11-29
2 446 100 2008-08-23
2 474 65 2010-01-10
2 475 60 2008-09-28
2 517 90 2008-09-16
2 525 90 2009-05-09
2 561 70 2008-11-05
2 576 80 2015-06-09
2 578 90 2009-01-10
2 605 40 2011-09-28
2 648 60 2009-01-10
2 654 80 2009-03-28
2 663 50 2011-08-26
2 698 100 2009-08-14
2 760 50 2008-12-09
2 789 40 2009-05-02
2 813 80 2008-12-21
2 840 80 2008-12-23
2 842 80 2012-06-27
2 851 80 2008-12-26
2 873 70 2010-06-08
2 897 100 2008-12-31
2 904 70 2013-09-22
2 907 70 2009-05-10
2 916 50 2011-04-26
2 973 80 2009-01-11
2 979 60 2013-05-02
2 997 100 2009-01-13
2 1019 60 2009-04-26
2 1020 90 2009-01-15
2 1029 80 2009-01-25
2 1059 80 2009-01-20
2 1076 50 2012-10-10
2 1079 100 2009-01-23
2 1111 70 2009-01-27
2 1158 80 2009-06-09
2 1165 70 2009-02-02
2 1177 90 2009-02-03
2 1233 80 2009-02-10
2 1270 65 2022-12-14
2 1273 100 2009-02-15
2 1274 90 2011-06-05
2 1361 70 2009-02-26
2 1419 50 2009-06-15
2 1449 80 2009-04-02
2 1465 80 2009-03-10
2 1509 80 2009-03-16
2 1514 60 2009-03-16
2 1516 70 2009-04-01
2 1557 80 2009-03-21
2 1599 35 2009-07-14
2 1617 80 2009-03-28
2 1632 100 2009-09-12
2 1699 80 2011-06-22
2 1759 100 2009-04-16
2 1762 100 2009-04-16
2 1819 90 2009-05-08
2 1833 70 2010-04-16
2 1840 70 2009-04-26
2 1847 40 2009-04-27
2 1905 100 2009-05-04
2 1906 80 2009-05-04
2 1939 100 2009-05-07
2 1974 80 2009-05-10
2 1975 90 2009-06-03
2 2028 80 2009-05-17
2 2066 90 2009-07-13
2 2078 70 2009-06-30
2 2106 80 2009-05-23
2 2119 70 2009-06-16
2 2126 70 2009-05-26
2 2137 100 2009-05-27
2 2153 40 2014-12-22
2 2193 80 2009-06-01
2 2198 50 2009-06-02
2 2239 80 2009-12-24
2 2240 80 2009-06-06
2 2253 80 2010-02-12
2 2269 70 2009-06-09
2 2306 80 2009-06-13
2 2308 90 2010-01-24
2 2323 70 2009-06-14
2 2325 70 2009-06-14
2 2332 92 2009-06-15
2 2394 80 2010-04-25
2 2399 70 2009-06-23
2 2420 70 2022-11-27
2 2426 70 2010-02-21
2 2443 80 2009-06-26
2 2447 60 2009-06-27
2 2453 80 2009-06-27
2 2469 60 2011-06-07
2 2481 70 2009-06-30
2 2496 80 2009-07-02
2 2512 80 2009-07-04
2 2564 90 2009-07-08
2 2568 10 2009-07-08
2 2569 90 2009-07-08
2 2601 50 2010-07-09
2 2609 70 2009-07-12
2 2613 70 2009-07-12
2 2631 80 2010-05-26
2 2693 90 2012-08-27
2 2728 60 2009-07-21
2 2737 100 2009-07-22
2 2750 50 2009-07-23
2 2753 80 2009-07-23
2 2775 80 2009-07-26
2 2810 90 2009-07-28
2 2815 43 2009-07-30
2 2820 80 2009-07-29
2 2861 82 2009-07-31
2 2905 90 2009-10-04
2 2911 90 2009-08-09
2 2916 90 2009-08-06
2 2954 60 2009-09-24
2 2969 90 2009-08-09
2 2970 80 2009-11-07
2 2999 90 2009-08-11
2 3029 90 2009-08-13
2 3054 90 2009-08-14
2 3074 60 2009-08-16
2 3080 50 2011-01-01
2 3085 80 2009-08-16
2 3094 90 2010-02-12
2 3097 90 2009-08-18
2 3128 60 2019-01-18
2 3141 55 2009-08-21
2 3196 80 2009-08-27
2 3242 70 2010-03-21
2 3247 40 2010-10-12
2 3253 70 2009-12-18
2 3317 90 2009-09-03
2 3355 90 2009-09-06
2 3406 80 2009-09-08
2 3411 80 2009-09-16
2 3425 80 2011-01-03
2 3459 70 2009-09-14
2 3483 70 2009-09-16
2 3580 100 2009-10-14
2 3593 80 2014-01-26
2 3626 80 2009-09-29
2 3681 100 2011-06-20
2 3721 80 2009-10-07
2 3732 100 2010-02-09
2 3757 90 2011-07-03
2 3787 20 2009-10-14
2 3847 90 2009-10-22
2 3852 70 2009-10-21
2 3864 100 2009-10-21
2 3875 70 2010-03-10
2 3892 80 2009-10-24
2 3901 70 2010-08-12
2 3911 50 2009-10-29
2 3957 100 2009-10-28
2 4003 90 2009-11-01
2 4029 80 2009-11-03
2 4072 70 2013-10-09
2 4075 80 2009-12-11
2 4090 70 2009-12-10
2 4131 60 2015-04-03
2 4133 80 2009-11-14
2 4148 80 2010-05-18
2 4173 70 2011-01-25
2 4183 80 2010-04-29
2 4303 70 2009-11-24
2 4330 80 2009-12-02
2 4410 70 2012-05-25
2 4519 70 2011-02-14
2 4529 60 2021-10-20
2 4535 90 2010-03-14
2 4552 80 2009-12-09
